time	frame	x	y	
03:05.1	-1478	"20,25"	"-13,81"	3
03:05.2	-1479	"20,61"	"-13,63"	3
03:05.3	-1480	"21,24"	"-13,72"	3
03:05.4	-1481	"21,42"	"-13,72"	3
03:05.6	-1482	"21,51"	"-13,71"	3
03:05.7	-1483	"21,69"	"-13,98"	3
03:05.8	-1484	"21,69"	"-14,34"	3
03:06.0	-1485	"21,69"	"-14,52"	3
03:06.1	-1486	"21,42"	"-14,8"	3
03:06.2	-1487	"20,79"	"-15,07"	3
03:06.3	-1488	"20,33"	"-14,71"	3
03:06.4	-1489	"20,25"	"-14,53"	3
03:06.6	-1490	"20,52"	"-14,8"	3
03:06.7	-1491	"20,43"	"-15,25"	3
03:06.8	-1492	"19,7"	"-15,43"	3
03:07.0	-1493	"19,52"	"-15,43"	3
